timestamp,cpu_usage,cpu_count,cpu_user_time,cpu_system_time,cpu_idle_time,cpu_temp,gpu_id,gpu_name,gpu_memory_total,gpu_memory_used,gpu_util,gpu_temp,fps
15:28:26,14.4,16,3.0,8.1,87.8,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,42.0,0.0
15:28:29,16.3,16,2.3,8.1,88.9,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,42.0,0.0
15:28:33,18.4,16,2.8,15.2,80.9,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,42.0,0.0
15:28:36,16.4,16,2.5,12.5,83.7,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,42.0,0.0
15:28:40,8.8,16,2.0,9.8,87.7,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:28:44,13.5,16,1.3,9.0,88.9,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:28:47,8.7,16,1.0,8.2,90.6,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:28:51,17.4,16,2.9,8.8,87.8,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:28:54,12.9,16,3.3,6.3,89.9,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:28:58,19.1,16,4.6,13.6,80.5,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:02,13.1,16,3.4,8.7,86.8,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:05,10.8,16,5.1,6.2,88.0,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:09,20.0,16,5.1,7.0,86.8,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:12,16.3,16,4.0,8.3,87.0,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:16,12.7,16,3.1,9.1,87.2,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
